Property_name,Property_type,Property_size,Total_rooms,Bedrooms,Bathrooms,Location,Price(Euros)
7th Arrondissement - Bac,Apartments,119,5,3,4,"Paris, Ile-De-France, 75007 France",1890000
Apartment in Paris 9th - Avenue Fochot,Apartments,96,NA,1,2,"Paris, Ile-De-France, 75009 France",1879999
PARIS 15 - PENTHOUSE WITH TERRACES,Apartments,136,5,3,4,"Paris, Ile-De-France, 75015 France",1874999
Paris 7th - 2 bedrooms - Gros caillou,Apartments,89,NA,2,4,"Paris, Ile-De-France, 75007 France",1872000
Lovely renovated apartment with terrace in the heart of Paris.,Apartments,102,NA,2,4,"Paris, Ile-De-France, 75002 France",1850000
"PARIS 17, TRIUMPHAL ARCH",Apartments,139,5,3,3,"Paris, Ile-De-France, 75017 France",1850000
Apartment in Paris 9th - Saint Georges,Apartments,125,NA,4,5,"Paris, Ile-De-France, 75009 France",1840000
Paris 17th / Villa des Ternes,Duplex Homes,118,NA,2,5,"Paris, Ile-De-France, 75017 France",1820000
Family apartment - 5 bedrooms - VILLAGE d'AUTEUIL - PARIS XVI,Apartments,159,7,5,4,"Paris, Ile-De-France, 75016 France",1800000
Contemporary house on 3 levels - Paris 19th - Bolivar,Single Family Homes,247,NA,3,7,"Paris, Ile-De-France, 75019 France",1798000
Apartment in Paris 8th - Montaigne / François 1er,Apartments,84,3,2,3,"Paris, Ile-De-France, 75008 France",1789999
3-room apartment - Paris 16th - Victor Hugo,Apartments,113,3,2,2,"Paris, Ile-De-France, 75016 France",1750000
Paris 20th - Saint-Blaise - Superb loft with Gustave Eiffel glass roof.,Apartments,237,5,2,4,"Paris, Ile-De-France, 75020 France",1750000
Perfect pied-a-terre VII,Apartments,82,3,2,4,"Paris, Ile-De-France, 75006 France",1750000
APPARTEMENT TRIANGLE D'OR - PARIS 8ème,Apartments,55,2,1,2,"Paris, Ile-De-France, 75008 France",1750000
Apartment in Paris 16th - Ranelagh,Apartments,120,4,3,3,"Paris, Ile-De-France, 75016 France",1739999
Apartment in Paris 16th - Belles Feuilles / Victor Hugo,Apartments,133,NA,3,4,"Paris, Ile-De-France, 75016 France",1735000
Apartment for sale in Paris 15th - Seine,Apartments,134,5,3,4,"Paris, Ile-De-France, 75015 France",1694999
Paris 13 - 102m² apartment with 80m² terrace,Apartments,180,3,2,1,"Paris, Ile-De-France, 75013 France",1694999
Apartment in Paris 19th - Saint Georges,Apartments,115,NA,3,4,"Paris, Ile-De-France, 75009 France",1690000
Paris 6th - Superb apartment on the top floor with balcony and exceptional views,Apartments,50,NA,1,2,"Paris, Ile-De-France, 75006 France",1690000
Perfect pied-à-terre - Place Vendôme,Apartments,86,3,2,1,"Paris, Ile-De-France, 75001 France",1690000
Elegant 5 rooms - Paris XVI,Apartments,136,5,2,3,"Paris, Ile-De-France, 75016 France",1690000
Perfect condition-Saint-Germain de Prés-Two bedrooms,Apartments,79,3,2,2,"Paris, Ile-De-France, 75005 France",1680000
Paris 12 - Daumesnil - Apartment with double terrace,Apartments,140,4,2,3,"Paris, Ile-De-France, 75012 France",1669999
FOR SALE - Apartment - Bourse du Commerce - 75001 PARIS - 2 bedrooms - 1 office,Apartments,100,4,3,4,"Paris, Ile-De-France, 75001 France",1669999
Trinité,Apartments,114,4,2,4,"Paris, Ile-De-France, 75009 France",1669999
Sole Agent - Crossing apartment with balcony,Apartments,101,NA,2,4,"Paris, Ile-De-France, 75009 France",1665000
Rue du Bac : perfect renovated pied-à-terre.,Apartments,73,3,2,2,"Paris, Ile-De-France, 75007 France",1649999
High floor family apartment with balcony - Ternes/Maillot,Apartments,135,5,3,2,"Paris, Ile-De-France, 75017 France",1649999
Paris 16 - Art Deco apartment,Apartments,148,5,3,5,"Paris, Ile-De-France, 75016 France",1644999
Paris 8th - Golden Triangle - Luxurious apartment with terraces,Apartments,96,3,2,2,"Paris, Ile-De-France, 75008 France",1620000
Perfect Pied-à-terre / Rive Gauche,Apartments,90,4,2,2,"Paris, Ile-De-France, 75007 France",1599999
Family apartment to renovate - Porte Maillo,Apartments,125,5,3,2,"Paris, Ile-De-France, 75116 France",1599999
Prestigious apartment facing the Luxembourg Gardens,Apartments,104,5,NA,NA,"Paris, Ile-De-France, 75006 France",1599999
Paris 9 - Appartement 4 pièces 3 chambres de 125m²,Apartments,123,4,3,3,"Paris, Ile-De-France, 75009 France",1599999
Place Vendôme perfect pied-à-terre,Apartments,84,3,2,1,"Paris, Ile-De-France, 75001 France",1598999
Triplex,Apartments,92,3,2,3,"Paris, Ile-De-France, 75006 France",1590000
Paris 6 - rue Vavin-jardin du Luxembourg,Apartments,96,NA,3,2,"Paris, Ile-De-France, 75006 France",1590000
"Superb pied-à-terre on avenue d'Iéna to renovate, Paris XVI.",Apartments,133,3,1,4,"Paris, Ile-De-France, 75016 France",1590000
Apartment,Apartments,119,NA,2,2,"Paris, Ile-De-France, 75003 France",1579999
PARIS 8TH - Saint Augustin,Apartments,129,5,3,3,"Paris, Ile-De-France, 75008 France",1579999
Paris 9 - Place Saint Georges - elegant apartment like a boutique hôtel suite,Apartments,106,NA,1,2,"Paris, Ile-De-France, 75009 France",1550000
"Avenue Foch, belle opportunité",Apartments,148,NA,NA,NA,"Paris, Ile-De-France, 75016 France",1550000
Apartment for sale in Paris 3rd arr. - rue des Tournelles.,Apartments,127,5,3,2,"Paris, Ile-De-France, 75003 France",1529999
Paris 16 - Family apartment with terrace,Apartments,168,7,4,5,"Paris, Ile-De-France, 75016 France",1520000
Apartment in Paris 2nd - Place des Victoires,Apartments,102,NA,NA,NA,"Paris, Ile-De-France, 75002 France",1520000
Appartement de réception avenue de la Grande Armée,Apartments,128,3,1,NA,"Paris, Ile-De-France, 75017 France",1495000
Apartment,Apartments,68,3,2,4,"Paris, Ile-De-France, 75001 France",1489999
Familial apartment- 75017/Niel,Apartments,141,6,4,3,"Paris, Ile-De-France, 75017 France",1489999
Appartement familial - Vue dégagée - Paris XVI,Apartments,124,5,3,3,"Paris, Ile-De-France, 75016 France",1489999
