id,Cost,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,cleanliness_rating,guest_satisfaction,bedrooms,dist,metro_dist,lng,lat
925,502.609749277658,Entire home/apt,False,False,2,False,0,9,81,0,1.562,0.186,2.332,48.852
926,421.754124335912,Entire home/apt,False,False,2,False,0,10,100,1,3.819,0.334,2.306,48.871
927,461.133376829154,Entire home/apt,False,False,4,False,0,9,100,1,4.072,0.132,2.299,48.848
928,660.825799235716,Entire home/apt,False,False,4,False,0,8,87,1,1.338,0.212,2.337,48.85
929,375.61748532016,Entire home/apt,False,False,2,False,0,10,91,0,4.823,0.211,2.29,48.87
930,281.480100661757,Private room,False,True,3,True,0,10,98,1,4.995,0.068,2.3,48.885
931,637.291453071115,Entire home/apt,False,False,5,False,0,8,88,3,1.204,0.089,2.339,48.851
932,217.867462018827,Entire home/apt,False,False,2,False,0,9,90,0,4.25,0.327,2.297,48.867
933,301.28623357256,Private room,False,True,2,False,0,10,100,1,2.01,0.103,2.328,48.849
934,218.799515332277,Entire home/apt,False,False,2,False,1,8,90,0,3.547,0.445,2.305,48.859
935,266.567247646565,Entire home/apt,False,False,2,False,0,9,86,0,3.905,0.349,2.304,48.843
936,377.714605275421,Private room,False,True,2,False,0,10,100,1,4.634,0.213,2.296,48.876
937,718.613104669587,Entire home/apt,False,False,4,False,1,9,89,1,1.369,0.027,2.335,48.853
938,660.825799235716,Entire home/apt,False,False,6,True,0,10,99,2,5.021,0.261,2.289,48.873
939,363.966818902041,Entire home/apt,False,False,4,False,0,9,94,1,3.595,0.146,2.309,48.841
940,471.152949948737,Private room,False,True,4,False,1,9,93,2,4.978,0.166,2.292,48.876
941,381.675831857582,Private room,False,True,2,False,0,10,90,1,5.299,0.263,2.286,48.875
942,452.045857023021,Entire home/apt,False,False,2,True,0,10,95,1,2.586,0.216,2.319,48.85
943,753.099077267219,Entire home/apt,False,False,4,True,0,10,96,2,3.866,0.352,2.31,48.877
944,297.091993662037,Private room,False,True,2,False,1,10,95,1,4.901,0.19,2.293,48.876
945,383.539938484481,Private room,False,True,2,False,0,9,83,1,3.19,0.203,2.309,48.855
