Property_name,Price (dollars),Year_Built,Property_Type,Area (sq ft),Tax (dollars/year),Total_room,Bedroom,Bathroom,Area_code,Price (euros),Prop_size (m^2)
Rue du Bac : perfect renovated pied-Ã -terre.,1793478.0,1830.0,Apartments,796.0,2614.5196078431372,3.0,2.0,2.0,75007,1649999.0,73.0
High floor family apartment with balcony - Ternes/Maillot,1793478.0,1932.0,Apartments,1474.0,2979.0,5.0,3.0,2.0,75017,1649999.0,135.0
Paris 16 - Art Deco apartment,1788043.0,1950.0,Apartments,1614.0,2113.0,5.0,3.0,5.0,75016,1644999.0,148.0
Paris 8th - Golden Triangle - Luxurious apartment with terraces,1760870.0,1984.0,Apartments,1044.0,2293.0,3.0,2.0,2.0,75008,1620000.0,96.0
Perfect Pied-Ã -terre / Rive Gauche,1739130.0,1910.0,Apartments,979.0,1534.0,4.0,2.0,2.0,75007,1599999.0,90.0
Family apartment to renovate - Porte Maillo,1739130.0,1970.0,Apartments,1367.0,2875.0,5.0,3.0,2.0,75116,1599999.0,125.0
Paris 9 - Appartement 4 piÃ¨ces 3 chambres de 125mÂ²,1739130.0,1880.0,Apartments,1345.0,2614.5196078431372,4.0,3.0,3.0,75009,1599999.0,123.0
Place VendÃ´me perfect pied-Ã -terre,1738043.0,1833.0,Apartments,914.0,2550.0,3.0,2.0,1.0,75001,1598999.0,84.0
Paris 6 - rue Vavin-jardin du Luxembourg,1728261.0,1900.0,Apartments,1044.0,2614.5196078431372,5.0,3.0,2.0,75006,1590000.0,96.0
"Superb pied-Ã -terre on avenue d'IÃ©na to renovate, Paris XVI.",1728261.0,1940.0,Apartments,1453.0,2614.5196078431372,3.0,1.0,4.0,75016,1590000.0,133.0
PARIS 8TH - Saint Augustin,1717391.0,1890.0,Apartments,1410.0,2565.0,5.0,3.0,3.0,75008,1579999.0,129.0
Paris 9 - Place Saint Georges - elegant apartment like a boutique hÃ´tel suite,1684783.0,1840.0,Apartments,1162.0,2614.5196078431372,5.0,1.0,2.0,75009,1550000.0,106.0
Apartment for sale in Paris 3rd arr. - rue des Tournelles.,1663043.0,1855.0,Apartments,1388.0,1821.0,5.0,3.0,2.0,75003,1529999.0,127.0
Paris 16 - Family apartment with terrace,1652174.0,1969.0,Apartments,1829.0,1654.0,7.0,4.0,5.0,75016,1520000.0,168.0
Apartment in Paris 2nd - Place des Victoires,1652174.0,1870.0,Apartments,1119.0,2614.5196078431372,5.0,3.0,2.0,75002,1520000.0,102.0
Appartement de rÃ©ception avenue de la Grande ArmÃ©e,1625000.0,1887.0,Apartments,1399.0,2614.5196078431372,3.0,1.0,2.0,75017,1495000.0,128.0
Familial apartment- 75017/Niel,1619565.0,1881.0,Apartments,1539.0,3365.0,6.0,4.0,3.0,75017,1489999.0,141.0
Appartement familial - Vue dÃ©gagÃ©e - Paris XVI,1619565.0,1960.0,Apartments,1356.0,2614.5196078431372,5.0,3.0,3.0,75016,1489999.0,124.0
Renovated and bright top floor apartment with a view of Les Invalides,1608696.0,1900.0,Apartments,1130.0,2614.5196078431372,5.0,2.0,2.0,75007,1480000.0,103.0
Paris VIe - Saint Sulpice,1608696.0,1850.0,Apartments,839.0,2614.5196078431372,5.0,3.0,2.0,75006,1480000.0,77.0
Paris 18 - Amazing apartment with a private garden in the heart of Montmartre,1597826.0,1960.0,Apartments,775.0,1452.0,4.0,2.0,1.0,75018,1469999.0,71.0
Apartment,1597826.0,1880.0,Apartments,1022.0,2432.0,3.0,2.0,3.0,75017,1469999.0,94.0
Apartment,1576087.0,1935.0,Apartments,1076.0,1812.0,5.0,2.0,2.0,75009,1450000.0,98.0
Open-plan family flat - Vaugirard - Paris 15th,1576087.0,1914.0,Apartments,1420.0,2614.5196078431372,5.0,3.0,2.0,75015,1450000.0,130.0
