Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
Paris 10Ã¨me - 5 piÃ¨ces 4 chambres de 170mÂ² refait Ã neuf,1890.0,apartment,1802.0,5.0,4.0,4.0,2300000.0,169
Apartment in Paris 16th - TrocadÃ©ro,1957.0,apartment,2601.0,3.0,1.0,2.0,2280000.0,86
Magnifique appartement entiÃ¨rement rÃ©novÃ© rue de l'OdÃ©on,1890.0,apartment,1838.0,4.0,2.0,4.0,2269999.0,103
Paris VII- EXCLUSIVITY - Family apartment rue de Verneuil,1760.0,apartment,2982.0,6.0,4.0,2.0,2249999.0,128
Top floor - Eiffel Tower view,1894.0,apartment,2625.0,5.0,4.0,4.0,2249999.0,176
Appartement familial et de rÃ©ception,1880.0,apartment,2601.0,5.0,3.0,5.0,2240000.0,152
Paris 18th - Montmartre - Apartment with Garden Renovated by an Architect,1800.0,apartment,1628.0,5.0,2.0,3.0,2190000.0,87
Paris VII - SÃ©gur - top floor apartment in perfect condition,1890.0,apartment,2601.0,5.0,3.0,2.0,2190000.0,123
Paris 8 - Madeleine - Beautiful and renovated 3 BR apartment with balcony,1830.0,apartment,2755.0,5.0,4.0,2.0,2190000.0,148
Appartement familial 4 chambres - Vue dÃ©gagÃ©e,1900.0,apartment,2601.0,6.0,4.0,3.0,2179999.0,173
Passy,1964.0,apartment,3796.0,5.0,3.0,5.0,2154999.0,154
"Avenue Montaigne, Plaza AthÃ©nÃ©e, Pied-Ã -terre with two bedrooms.",1960.0,apartment,1527.0,4.0,2.0,4.0,2150000.0,76
Apartment in Paris 16th - Jasmin,1930.0,apartment,4022.0,6.0,4.0,4.0,2140000.0,194
Apartment in Paris 16th - Place des Etats-Unis,1930.0,apartment,2601.0,5.0,4.0,3.0,2100000.0,225
Paris 4th - Top floor apartment with panoramic terrace and monument views,1930.0,apartment,2251.0,4.0,2.0,1.0,2080000.0,101
PARIS 16 - CHURCH OF AUTEUIL,1908.0,apartment,2601.0,6.0,3.0,3.0,2050000.0,159
Apartment in Paris 11th - Bastille Popincourt / Charonne,1800.0,apartment,2601.0,5.0,4.0,4.0,1999999.0,188
