id,room_type,room_sharing,room_private,person_capacity,host_status,multi_listing,business_listing,cleanliness_rating,guest_satisfaction_rating,bedrooms,dist_city,dist_metro,attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude,price
1954,Private room,False,True,5,False,1,0,9,90,1,3.438503268,0.223608448,200.851284,9.76640827,485.7969191,22.41094462,2.374,48.829,582.5333209
1955,Private room,False,True,2,False,1,0,10,90,1,3.438532139,0.223595983,200.8499424,9.766343035,485.7931599,22.4107712,2.374,48.829,303.3833535
1956,Private room,False,True,2,False,1,0,10,95,1,1.43525808,0.209879477,334.8346448,16.28135892,899.2254979,41.48336896,2.3707,48.8617,236.7415416
1957,Entire home/apt,False,False,2,False,0,1,9,86,0,2.022957392,0.282954353,271.2815914,13.19108708,802.5026248,37.02131729,2.379,48.851,417.0938578
1958,Entire home/apt,False,False,4,False,0,0,10,100,2,2.556403838,0.211899404,234.5185884,11.40348339,627.1956395,28.93399729,2.38755,48.85539,422.919191
1959,Entire home/apt,False,False,2,False,0,0,10,99,1,1.46544185,0.162989983,338.0320615,16.43683354,949.5187039,43.80351182,2.36861,48.86458,229.2851151
1960,Entire home/apt,False,False,2,False,0,0,10,100,1,4.809942683,0.237695577,179.9949675,8.752268368,404.0971062,18.64194175,2.3849,48.89428,171.031783
1961,Entire home/apt,False,False,4,False,0,0,10,95,1,1.726716867,0.03301822,301.4356559,14.65733066,844.5680691,38.96189432,2.37497,48.85145,457.8711902
1962,Entire home/apt,False,False,2,False,0,1,9,88,0,2.022966296,0.282964297,271.2805853,13.19103816,802.4913217,37.02079585,2.379,48.851,391.695405
1963,Private room,False,True,3,False,1,0,7,72,1,5.943523651,0.805815291,124.6474686,6.060992211,279.4222405,12.89039949,2.43028,48.84107,294.7618604
1964,Private room,False,True,2,False,1,0,10,98,1,1.784389475,0.058728736,294.1969213,14.30534666,829.8779212,38.28420354,2.37601,48.85188,201.0905024
1965,Private room,False,True,2,True,0,0,9,94,1,4.638713441,0.156844378,183.7894079,8.936773305,420.6106151,19.40374842,2.37953,48.89437,127.9243173
1966,Entire home/apt,False,False,6,True,0,0,10,96,2,2.357300368,0.042428038,244.9187687,11.90919291,700.7604592,32.32771396,2.38325,48.8499,366.0639389
1967,Entire home/apt,False,False,5,True,0,0,10,96,2,1.706128179,0.13353312,304.8815873,14.82488932,809.8242448,37.35908069,2.37414,48.86259,475.1141765
1968,Entire home/apt,False,False,3,False,0,0,10,100,1,1.942126542,0.07381852,279.761027,13.60340025,742.0082058,34.23056868,2.37912,48.8581,318.5292199
1969,Entire home/apt,False,False,2,False,1,0,9,87,1,1.44946691,0.075003049,335.695043,16.32319584,900.5849939,41.54608568,2.36996,48.86297,278.2179141
1970,Private room,False,True,2,False,1,0,10,97,1,1.436752655,0.194671658,334.4482104,16.26256852,905.652672,41.77986948,2.3708,48.86158,236.7415416
1971,Entire home/apt,False,False,2,False,0,0,9,94,1,2.792464637,0.166305291,235.9498762,11.47307987,553.9797058,25.55637555,2.36785,48.83351,171.031783
1972,Entire home/apt,False,False,4,False,0,0,10,91,2,1.725961278,0.287576942,299.2376408,14.55045201,785.9557426,36.25797103,2.37614,48.85823,341.5975394
1973,Entire home/apt,False,False,4,False,0,0,9,90,1,3.25882144,0.235537038,199.8474422,9.717596389,514.0948303,23.71639324,2.397,48.854,248.8582347
1974,Entire home/apt,False,False,4,False,0,0,9,95,0,4.096542891,0.371335475,167.0108173,8.120913118,416.210379,19.20075527,2.40533,48.84417,243.2659148
1975,Entire home/apt,False,False,3,False,0,0,10,93,0,3.128049769,0.178949371,202.6541002,9.854070341,520.9757159,24.03382454,2.39179,48.84526,212.7411688
1976,Private room,False,True,2,True,0,0,10,100,1,1.935013022,0.116992384,278.9679541,13.56483703,766.2477852,35.348797,2.37912,48.8569,336.0052195
1977,Entire home/apt,False,False,2,False,0,0,10,99,1,2.114116709,0.238288993,263.200266,12.79813205,799.0831529,36.86356908,2.38038,48.85117,341.5975394
