,Type,Rental type,Acreage,Bedrooms,Price/month_new
229,0.0,2.0,46.0,1.0,1696.0
230,0.0,2.0,45.0,1.0,3024.0
231,0.0,2.0,80.0,2.0,3041.0
232,0.0,1.0,50.0,2.0,2394.0
233,0.0,2.0,38.0,1.0,2003.0
234,0.0,2.0,28.0,1.0,1484.0
235,0.0,2.0,23.0,1.0,1774.0
236,0.0,2.0,32.0,1.0,1484.0
237,0.0,2.0,107.0,2.0,5118.0
238,0.0,2.0,40.0,1.0,2014.0
239,0.0,2.0,40.0,1.0,3498.0
240,0.0,2.0,42.0,1.0,4800.0
241,0.0,1.0,90.0,3.0,3490.0
242,0.0,2.0,59.0,1.0,4804.0
243,0.0,2.0,45.0,1.0,4300.0
244,0.0,2.0,42.0,2.0,4494.0
245,0.0,2.0,60.0,2.0,4300.0
246,0.0,1.0,43.0,1.0,2400.0
247,0.0,2.0,76.0,2.0,3132.0
248,0.0,2.0,45.0,1.0,2639.0
249,0.0,2.0,53.0,2.0,2120.0
250,0.0,2.0,38.0,1.0,2120.0
251,0.0,2.0,33.0,1.0,2650.0
252,0.0,2.0,60.0,1.0,2650.0
253,0.0,2.0,40.0,1.0,4650.0
254,0.0,2.0,40.0,1.0,2645.0
255,0.0,2.0,69.0,2.0,4456.0
256,0.0,2.0,51.0,1.0,2700.0
257,0.0,2.0,50.0,3.0,3210.0
258,0.0,2.0,40.0,1.0,4500.0
259,0.0,2.0,48.0,1.0,2700.0
260,0.0,2.0,46.0,2.0,2678.0
261,0.0,2.0,44.0,1.0,2700.0
262,0.0,2.0,51.0,2.0,2200.0
263,0.0,2.0,70.0,2.0,2678.0
264,0.0,2.0,43.0,1.0,2300.0
265,0.0,2.0,61.0,2.0,2736.0
266,0.0,2.0,22.0,1.0,3410.0
267,0.0,2.0,87.0,2.0,2745.0
268,0.0,2.0,71.0,2.0,2226.0
269,0.0,2.0,43.0,1.0,1945.0
270,0.0,2.0,30.0,1.0,5844.0
271,0.0,2.0,49.0,1.0,5347.0
272,0.0,2.0,65.0,2.0,2790.0
273,0.0,2.0,62.0,1.0,4761.0
274,0.0,2.0,52.0,2.0,2544.0
275,0.0,2.0,25.0,1.0,3933.0
276,0.0,2.0,25.0,1.0,2900.0
277,0.0,2.0,58.0,1.0,2052.0
278,0.0,2.0,60.0,1.0,2843.0
279,0.0,1.0,52.0,1.0,1850.0
280,0.0,2.0,42.0,1.0,2332.0
281,0.0,2.0,75.0,2.0,2862.0
282,0.0,2.0,45.0,2.0,2916.0
283,0.0,1.0,81.0,3.0,5450.0
284,0.0,2.0,28.0,1.0,3200.0
285,0.0,2.0,45.0,1.0,5000.0
286,0.0,2.0,32.0,1.0,5297.0
287,0.0,2.0,69.0,2.0,3392.0
288,0.0,2.0,90.0,2.0,5554.0
289,0.0,2.0,46.0,1.0,2438.0
290,0.0,2.0,71.0,2.0,2750.0
291,0.0,2.0,70.0,2.0,2438.0
292,0.0,2.0,48.0,1.0,1944.0
293,0.0,2.0,60.0,1.0,3935.0
294,0.0,2.0,42.0,2.0,4505.0
295,0.0,2.0,82.0,3.0,4860.0
296,0.0,2.0,43.0,1.0,2492.0
297,0.0,2.0,45.0,1.0,4610.0
298,0.0,2.0,35.0,1.0,5000.0
299,0.0,2.0,110.0,3.0,14674.0
300,0.0,2.0,183.0,4.0,25085.0
301,0.0,2.0,42.0,1.0,1985.0
302,0.0,1.0,55.0,1.0,3850.0
303,0.0,2.0,45.0,1.0,4212.0
304,0.0,2.0,53.0,1.0,3103.0
305,0.0,2.0,35.0,2.0,4454.0
306,0.0,2.0,70.0,2.0,3103.0
307,0.0,2.0,42.0,1.0,5318.0
308,0.0,2.0,66.0,2.0,4384.0
309,0.0,2.0,39.0,1.0,5300.0
310,0.0,2.0,42.0,1.0,2366.0
311,0.0,1.0,68.0,2.0,5560.0
312,0.0,2.0,64.0,2.0,3180.0
313,0.0,2.0,57.0,2.0,3942.0
314,0.0,2.0,82.0,3.0,3710.0
315,0.0,2.0,57.0,2.0,3710.0
316,0.0,2.0,50.0,1.0,3700.0
317,0.0,2.0,40.0,1.0,2750.0
318,0.0,2.0,36.0,1.0,1800.0
319,0.0,2.0,73.0,2.0,3192.0
320,0.0,2.0,36.0,1.0,1975.0
321,0.0,2.0,56.0,3.0,3050.0
322,0.0,2.0,56.0,1.0,4717.0
323,0.0,2.0,85.0,2.0,3867.0
324,0.0,2.0,62.0,2.0,3080.0
325,0.0,2.0,71.0,2.0,3275.0
326,0.0,2.0,20.0,1.0,1300.0
327,0.0,2.0,64.0,1.0,4700.0
328,0.0,2.0,37.0,1.0,2100.0
329,0.0,2.0,57.0,2.0,6778.0
330,0.0,2.0,30.0,1.0,6122.0
331,0.0,2.0,47.0,1.0,3472.0
332,0.0,2.0,117.0,3.0,5768.0
333,0.0,2.0,60.0,1.0,4000.0
334,0.0,2.0,62.0,2.0,6067.0
335,0.0,2.0,55.0,1.0,5000.0
336,0.0,2.0,79.0,2.0,4702.0
337,0.0,2.0,37.0,1.0,2100.0
338,0.0,2.0,57.0,2.0,6778.0
339,0.0,2.0,30.0,1.0,6122.0
340,0.0,2.0,47.0,1.0,3472.0
341,0.0,2.0,117.0,3.0,5768.0
342,0.0,2.0,60.0,1.0,4000.0
343,0.0,2.0,55.0,1.0,5000.0
344,0.0,2.0,87.0,2.0,3520.0
345,0.0,2.0,53.0,2.0,3484.0
346,0.0,2.0,55.0,2.0,2500.0
347,0.0,2.0,48.0,1.0,7008.0
348,0.0,2.0,55.0,1.0,2968.0
349,0.0,2.0,55.0,1.0,7045.0
350,0.0,2.0,78.0,2.0,3498.0
351,0.0,2.0,75.0,2.0,3300.0
352,0.0,2.0,32.0,1.0,5366.0
353,0.0,2.0,44.0,1.0,2100.0
354,0.0,2.0,85.0,2.0,3672.0
355,0.0,2.0,60.0,2.0,5500.0
356,0.0,2.0,90.0,2.0,7665.0
357,1.0,1.0,236.0,5.0,3100.0
358,0.0,2.0,45.0,1.0,5500.0
359,0.0,2.0,70.0,1.0,2100.0
360,0.0,2.0,73.0,2.0,3816.0
361,0.0,2.0,82.0,2.0,3077.0
362,0.0,2.0,56.0,2.0,1800.0
363,0.0,2.0,67.0,2.0,6966.0
364,0.0,2.0,34.0,1.0,5156.0
365,0.0,2.0,41.0,1.0,6810.0
366,0.0,2.0,50.0,1.0,6663.0
367,0.0,2.0,38.0,1.0,5096.0
368,0.0,2.0,46.0,1.0,2000.0
369,0.0,2.0,53.0,2.0,3839.0
370,0.0,2.0,75.0,2.0,3815.0
371,0.0,2.0,83.0,3.0,4559.0
372,0.0,2.0,130.0,3.0,7080.0
373,0.0,2.0,65.0,2.0,4877.0
374,0.0,2.0,40.0,1.0,4400.0
375,0.0,1.0,60.0,1.0,4900.0
376,0.0,2.0,100.0,2.0,9234.0
377,0.0,1.0,30.0,1.0,9450.0
378,0.0,2.0,77.0,2.0,8878.0
379,0.0,2.0,43.0,1.0,7219.0
380,0.0,2.0,53.0,1.0,5642.0
381,0.0,2.0,130.0,3.0,10000.0
382,0.0,1.0,50.0,1.0,17000.0
383,0.0,2.0,64.0,1.0,8320.0
384,0.0,2.0,105.0,3.0,5300.0
