,Address,Postal_code,Arrondissement,Area,Price,Bedroom,Occupants,Floor,Elevator,Available_date,Description,Arrondissement_Name
2280,Réaumur - Sébastopol - Paris,75002,2,60,6452,2,4,1,1.0,08-12-2024,"This charming and delightful 60 square meters , 2 Bedroom, apartment is located on rue de Palestro in the 2nd arrondissement, on the 1 st French floor of a 19th century building and it sleeps 4 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Bourse
2281,Le Marais - Paris,75003,3,15,1000,1,2,4,0.0,10/29/2024,"This modern 15 square meters , Studio, apartment is located on rue de Turenne in the 3rd arrondissement, on the 4 th French floor of a 17th century walk up building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Temple
2282,Champs de Mars - Tour Eiffel - Paris,75016,16,40,1720,1,2,6,1.0,07/19/2024,"This tastefully decorated and modern 40 square meters , 1 bedroom, apartment is located on rue des Bauches in the 16th arrondissement, on the 6 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access, stereo.",Passy
2283,Auteuil - Paris,75016,16,47,2149,1,3,2,1.0,08/26/2024,"This modern 47 square meters , 1 Bedroom, apartment is located on rue Chanez in the 16th arrondissement, on the 2 nd French floor of a 20th century building and it sleeps 2 to 3 people according the rental lengh. This apartment is equipped with : washer-dryer, dishwasher, cable, TV, unlimited high speed internet access, wifi, balcony, phone.",Passy
2284,Montmartre - Sacré Coeur - Paris,75018,18,24,1251,1,2,4,1.0,11-10-2024,"This modern 24 square meters , Studio, apartment is located on rue Lamarck in the 18th arrondissement, on the 4 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : TV, unlimited high speed internet access.",Butte-Montmartre
2285,Levallois-Perret,92300,92,25,1452,1,2,8,1.0,07/19/2024,"This delightful 25 square meters , Studio, apartment is located on rue Rivay in Levallois Perret, on the 8 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dryer, dishwasher, TV, terrace, stereo, cable, unlimited high speed internet access with the wifi.",Hauts-de-Seine
2286,Champs-Élysées - Triangle d'Or - Paris,75008,8,60,3900,1,2,3,1.0,07/19/2024,"This elegant and design 60 square meters , 1 Bedroom, apartment is located on avenue Montaigne in the 8th arrondissement, on the 3 rd French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : A/C, washer-dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Élysée
2287,Père Lachaise - Paris,75020,20,47,1552,1,2,4,1.0,07/19/2024,"This charming 47 square meters , 1 Bedroom, apartment is located on boulevard de Charonne in the 20th arrondissement, on the 4 th French floor of a 20th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, cable, TV, unlimited high speed internet access.",Ménilmontant
2288,Le Marais-Place des Vosges - Paris,75004,4,40,2300,1,2,3,1.0,11-04-2024,"This 40 square meters , 1 Bedroom, apartment is located on rue des Tournelles in the 4th arrondissement, on the 3 rd French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer-dryer, TV, unlimited high speed internet access, DVD, decorative fireplace, dishwasher.",Hôtel-de-Ville
2289,Bastille - Paris,75011,11,30,1300,1,2,5,0.0,07/19/2024,"This 30 square meters , 1 Bedroom, apartment is located on rue Richard Lenoir in the 11th arrondissement, on the 5 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, TV, unlimited high speed internet access, balcony, DVD, VCR, decorative fireplace.",Popincourt
2290,Montorgueil - Paris,75002,2,29,1900,1,2,5,1.0,10/31/2024,"This charming and tastefully decorated 29 square meters , 1 Bedroom, apartment is located on rue Saint Denis in the 2nd arrondissement, on the 5 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, TV, unlimited high speed internet access with the wifi.",Bourse
2291,Buttes Chaumont - Paris,75019,19,125,4100,4,7,4,1.0,01-04-2024,"This delightful and spacious 125 square meters , 4 Bedrooms, apartment is located on avenue Simon Bolivar in the 19th arrondissement, on the 4 th French floor of a 19th century building and it sleeps 7 people. This apartment is equipped with : washer, dryer, dishwasher, cable, TV, unlimited high speed internet access with the wifi, decorative fireplace.",Buttes-Chaumont
2292,Le Marais - Paris,75004,4,15,1316,1,2,3,0.0,07/19/2024,"This 15 square meters , Studio, apartment is located on rue de Sevigne in the 4th arrondissement, on the 3 rd French floor of a 17th century building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access with the wifi.",Hôtel-de-Ville
2293,Père Lachaise - Paris,75011,11,45,1800,2,4,3,0.0,07/19/2024,"This delightful and tastefully decorated 45 square meters , 2 Bedrooms, apartment is located on boulevard de Menilmontant in the 11th arrondissement, on the 3 rd French floor of a 20th century building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, unlimited high speed internet access with the wifi.",Popincourt
2294,Porte Maillot - Neuilly-sur-Seine,92200,92,70,3000,2,4,4,0.0,01-01-2025,"This delightful and very well situated 70 square meters , 2 Bedrooms, apartment is located on Rue Madeleine Michelis in Neuilly sur Seine, on the 4 th French floor building and it sleeps 4 people. This apartment is equipped with : washer, dishwasher, TV, decorative fireplace, unlimited high speed internet access with the wifi.",Hauts-de-Seine
2295,Bastille - Paris,75012,12,20,1124,1,2,0,0.0,07/19/2024,"This charming 20 square meters , Studio, apartment is located on rue Crozatier in the 12th arrondissement, on the ground floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, dishwasher, unlimited high speed internet access with the wifi.",Reuilly
2296,Louvre - Paris,75001,1,19,1613,1,2,3,0.0,12/21/2024,"This charming and very well situated 19 square meters , Studio, apartment is located on rue Saint Roch in the 1st arrondissement, on the 3 rd French floor of a 17th century walk up building and it sleeps 2 people. This apartment is equipped with : A/C, washer, dishwasher, cable, TV, unlimited high speed internet access.",Louvre
2297,Oberkampf - Paris,75011,11,21,1108,1,2,1,0.0,07/26/2024,"This cozy 20 square meters , Studio, apartment is located on rue Oberkampf in the 11th arrondissement, on the 1 st French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : cable, TV, unlimited high speed internet access, phone, stereo.",Popincourt
2298,Saint-Germain-des-Prés - Paris,75006,6,85,3763,2,4,4,0.0,08-01-2024,"This tastefully decorated and very well situated 85 square meters , 2 Bedroom, apartment is located on rue Bonaparte in the 6th arrondissement, on the 4 th French floor of a 19th century walk up building and it sleeps 5 people. This apartment is equipped with : washer, dishwasher, TV, unlimited high speed internet access, balcony, DVD, decorative fireplace, dryer.",Luxembourg
2299,Rue de la Pompe - Paris,75016,16,22,1290,1,2,6,1.0,06-03-2025,"This beautiful and tastefully decorated 22 square meters , Studio, apartment is located on rue Gustave Courbet in the 16th arrondissement, on the 6 th French floor of a 19th century building and it sleeps 2 people. This apartment is equipped with : washer, TV, cable, unlimited high speed internet access with the wifi.",Passy
2300,Champs de Mars - Tour Eiffel - Paris,75015,15,25,1237,1,2,5,0.0,01-03-2025,"This charming 25 square meters , Studio, apartment is located on rue de l Amiral Roussin in the 15th arrondissement, on the 5 th French floor of a 20th century walk up building and it sleeps 2 people. This apartment is equipped with : washer, dryer, cable, TV, unlimited high speed internet access with the wifi, phone, DVD, decorative fireplace.",Vaugirard
2301,Champs de Mars - Tour Eiffel - Paris,75016,16,34,1478,1,2,6,0.0,08/15/2024,"This charming 32 square meters , 1 Bedroom, apartment is located on rue Paul Sauniere in the 16th arrondissement, on the 6 th French floor of a 19th century walk up building and it sleeps 2 people. This apartment is equipped with : washer-dryer, TV, unlimited high speed internet access with the wifi, decorative fireplace. It has a view on the top on the Eiffel tower.",Passy
