Price/Rent (Euros),Bathroom,Type (Rental/Housing),Rooms,Bedrooms,Area (m²),Arrondissement,ZipCode
525000,1,Housing,1,1,31.7,17,75017
2650000,2,Housing,4,2,108.0,7,75007
1390000,1,Housing,5,1,81.5,5,75005
460000,2,Housing,4,2,46.0,16,75016
55000,2,Housing,4,2,95.0,16,75016
1350000,1,Housing,4,1,88.0,6,75006
2280000,3,Housing,5,3,116.03,6,75006
1960000,3,Housing,6,3,141.08,17,75017
2750000,3,Housing,4,3,122.0,3,75003
2690000,6,Housing,6,6,221.9,17,75017
890000,2,Housing,2,2,66.53,16,75016
950000,1,Housing,2,1,67.35,3,75003
1685000,2,Housing,6,2,122.01,16,75016
2100000,1,Housing,4,1,102.44,6,75006
1650000,2,Housing,5,2,113.29,8,75008
2500000,4,Housing,5,4,130.0,7,75007
3490000,4,Housing,7,4,182.0,15,75015
1470000,3,Housing,5,3,112.41,16,75016
1250000,2,Housing,5,2,98.16,16,75016
1895000,3,Housing,5,3,150.39,9,75009
1590000,2,Housing,3,2,82.08,8,75008
755000,1,Housing,4,1,58.08,17,75017
849000,2,Housing,2,2,61.0,5,75005
698000,1,Housing,2,1,45.09,6,75006
2350000,4,Housing,6,4,161.1,16,75016
1260000,2,Housing,4,2,82.0,16,75016
1680000,2,Housing,5,2,124.51,9,75009
450000,2,Housing,1,2,31.7,16,75016
588000,2,Housing,2,2,40.9,17,75017
1100000,2,Housing,3,2,71.41,6,75006
480000,2,Housing,2,2,42.21,13,75013
1890000,2,Housing,4,2,82.72,7,75007
2790000,3,Housing,7,3,184.0,16,75016
2780000,2,Housing,7,2,168.0,7,75007
1100000,1,Housing,4,1,73.12,5,75005
1390000,2,Housing,4,2,96.05,16,75016
2650000,4,Housing,6,4,176.73,6,75006
1575000,2,Housing,2,2,71.52,6,75006
500000,2,Housing,2,2,49.0,13,75013
730000,2,Housing,2,2,38.07,7,75007
1890000,2,Housing,5,2,111.15,5,75005
3360000,3,Housing,6,3,160.33,7,75007
875000,2,Housing,2,2,64.78,17,75017
2400000,3,Housing,5,3,171.01,10,75010
890000,1,Housing,4,1,90.0,17,75017
1850000,3,Housing,5,3,136.12,16,75016
3350000,3,Housing,5,3,144.99,17,75017
2350000,0,Housing,5,0,158.84,16,75016
3390000,6,Housing,7,6,218.0,16,75016
315000,1,Housing,1,1,29.9,17,75017
795000,1,Housing,3,1,56.68,9,75009
2000000,3,Housing,5,3,111.55,7,75007
795000,2,Housing,2,2,47.0,5,75005
1295000,2,Housing,5,2,109.42,16,75016
3100000,5,Housing,7,5,248.0,17,75017
1420000,2,Housing,5,2,128.53,9,75009
850000,2,Housing,3,2,72.65,16,75016
2090000,3,Housing,4,3,135.87,16,75016
855000,1,Housing,3,1,62.41,17,75017
1530000,2,Housing,5,2,108.0,7,75007
960000,2,Housing,3,2,63.91,7,75007
1340000,2,Housing,5,2,106.5,17,75017
1430000,2,Housing,4,2,87.0,6,75006
1497000,2,Housing,6,2,123.0,15,75015
895000,1,Housing,3,1,58.9,6,75006
1370000,3,Housing,5,3,131.26,16,75016
2500000,3,Housing,5,3,142.57,7,75007
1360000,2,Housing,4,2,101.01,9,75009
2600000,3,Housing,6,3,151.87,8,75008
995000,1,Housing,3,1,67.0,8,75008
2595000,3,Housing,5,3,144.0,7,75007
1420000,3,Housing,3,3,101.39,17,75017
2100000,2,Housing,4,2,102.37,6,75006
1095000,2,Housing,4,2,92.82,16,75016
700000,1,Housing,3,1,45.8,4,75004
895000,1,Housing,3,1,49.1,6,75006
1840000,0,Housing,5,0,132.09,16,75016
1590000,3,Housing,5,3,125.86,16,75016
2100000,4,Housing,5,4,167.82,8,75008
995000,1,Housing,3,1,73.2,15,75015
995000,2,Housing,3,2,72.8,15,75015
85000,0,Housing,4,0,11.0,7,75007
2990000,2,Housing,6,2,173.0,7,75007
1095000,2,Housing,3,2,77.61,8,75008
790000,2,Housing,3,2,43.05,6,75006
35200,2,Housing,4,2,13.0,6,75006
3180000,3,Housing,5,3,161.12,7,75007
1365000,3,Housing,4,3,102.7,16,75016
1320000,1,Housing,3,1,80.4,7,75007
660000,2,Housing,2,2,52.82,9,75009
2195000,4,Housing,5,4,120.02,8,75008
1600000,3,Housing,6,3,112.33,9,75009
2950000,5,Housing,7,5,175.12,14,75014
